idx, data structure, Ins/Del Ratio,Read/Write Ratio,Element Size,Number of Elements,Operations Completed, Time[Seconds]
137,arrbm,10,50,512,10,100000, 0.062500
138,arrbm,10,50,512,1000,100000, 0.328125
139,arrbm,10,50,512,100000,100000, 5.000000
140,arrbm,10,50,512,10000000,100000, 5.109375
141,arrbm,10,50,8192,10,142,arrbm,10,50,8192,1000,143,arrbm,10,50,8192,100000,144,arrbm,10,50,8192,10000000,145,arrbm,50,100,8,10,100000, 0.062500
146,arrbm,50,100,8,1000,100000, 0.062500
147,arrbm,50,100,8,100000,100000, 0.578125
148,arrbm,50,100,8,10000000,100000, 5.000000
149,arrbm,50,100,512,10,100000, 0.062500
150,arrbm,50,100,512,1000,100000, 0.312500
151,arrbm,50,100,512,100000,100000, 5.000000
152,arrbm,50,100,512,10000000,100000, 5.203125
153,arrbm,50,100,8192,10,100000, 0.109375
154,arrbm,50,100,8192,1000,155,arrbm,50,100,8192,100000,156,arrbm,50,100,8192,10000000,157,arrbm,50,99,8,10,100000, 0.046875
158,arrbm,50,99,8,1000,100000, 0.078125
159,arrbm,50,99,8,100000,100000, 0.593750
160,arrbm,50,99,8,10000000,100000, 5.000000
161,arrbm,50,99,512,10,100000, 0.062500
162,arrbm,50,99,512,1000,100000, 0.312500
163,arrbm,50,99,512,100000,100000, 5.000000
164,arrbm,50,99,512,10000000,100000, 5.187500
165,arrbm,50,99,8192,10,166,arrbm,50,99,8192,1000,167,arrbm,50,99,8192,100000,168,arrbm,50,99,8192,10000000,169,arrbm,50,90,8,10,100000, 0.062500
170,arrbm,50,90,8,1000,100000, 0.062500
171,arrbm,50,90,8,100000,100000, 0.578125
172,arrbm,50,90,8,10000000,100000, 5.000000
173,arrbm,50,90,512,10,100000, 0.062500
174,arrbm,50,90,512,1000,100000, 0.312500
175,arrbm,50,90,512,100000,100000, 5.000000
176,arrbm,50,90,512,10000000,100000, 5.156250
177,arrbm,50,90,8192,10,100000, 0.109375
178,arrbm,50,90,8192,1000,179,arrbm,50,90,8192,100000,180,arrbm,50,90,8192,10000000,181,arrbm,50,50,8,10,100000, 0.062500
182,arrbm,50,50,8,1000,100000, 0.062500
183,arrbm,50,50,8,100000,100000, 0.578125
184,arrbm,50,50,8,10000000,100000, 5.000000
185,arrbm,50,50,512,10,100000, 0.062500
186,arrbm,50,50,512,1000,100000, 0.312500
187,arrbm,50,50,512,100000,100000, 5.000000
188,arrbm,50,50,512,10000000,100000, 5.140625
189,arrbm,50,50,8192,10,190,arrbm,50,50,8192,1000,191,arrbm,50,50,8192,100000,192,arrbm,50,50,8192,10000000,
