Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     32.85     0.00        2     0.00     0.00  correctstack
  0.00     32.85     0.00        2     0.00     0.00  createlabel
  0.00     32.85     0.00        2     0.00     0.00  f_call
  0.00     32.85     0.00        2     0.00     0.00  forbody
  0.00     32.85     0.00        2     0.00     0.00  luaD_growstack
  0.00     32.85     0.00        2     0.00     0.00  luaD_inctop
  0.00     32.85     0.00        2     0.00     0.00  luaD_reallocstack
  0.00     32.85     0.00        2     0.00     0.00  luaH_getn
  0.00     32.85     0.00        2     0.00     0.00  luaK_concat
  0.00     32.85     0.00        2     0.00     0.00  luaK_goiftrue
  0.00     32.85     0.00        2     0.00     0.00  luaL_len
  0.00     32.85     0.00        2     0.00     0.00  luaV_objlen
  0.00     32.85     0.00        2     0.00     0.00  lua_gc
  0.00     32.85     0.00        2     0.00     0.00  lua_len
  0.00     32.85     0.00        2     0.00     0.01  lua_rawgeti
  0.00     32.85     0.00        2     0.00     0.00  setpath
  0.00     32.85     0.00        2     0.00     0.00  test_then_block
  0.00     32.85     0.00        1     0.00     0.00  atomic2gen
  0.00     32.85     0.00        1     0.00     0.00  closepaux
  0.00     32.85     0.00        1     0.00     0.00  docall
  0.00     32.85     0.00        1     0.00     0.00  entergen
  0.00     32.85     0.00        1     0.00     0.00  f_luaopen
  0.00     32.85     0.00        1     0.00     0.02  f_parser
  0.00     32.85     0.00        1     0.00     0.00  gctm
  0.00     32.85     0.00        1     0.00     0.00  luaC_barrierback_
  0.00     32.85     0.00        1     0.00     0.00  luaC_changemode
  0.00     32.85     0.00        1     0.00    21.80  luaC_freeallobjects
  0.00     32.85     0.00        1     0.00     5.45  luaD_closeprotected
  0.00     32.85     0.00        1     0.00     0.01  luaD_protectedparser
  0.00     32.85     0.00        1     0.00     0.00  luaF_close
  0.00     32.85     0.00        1     0.00     0.00  luaF_initupvals
  0.00     32.85     0.00        1     0.00     0.00  luaK_nil
  0.00     32.85     0.00        1     0.00     0.00  luaL_checkstack
  0.00     32.85     0.00        1     0.00     0.00  luaL_loadfilex
  0.00     32.85     0.00        1     0.00     0.00  luaL_newmetatable
  0.00     32.85     0.00        1     0.00     0.00  luaL_openlibs
  0.00     32.85     0.00        1     0.00     0.00  luaS_hash
  0.00     32.85     0.00        1     0.00     0.00  luaS_init
  0.00     32.85     0.00        1     0.00     0.00  luaS_resize
