program, time_mean, time_variance, memory_mean, memory_variance
./delannoy 14, 10045.40, 897.84, 544.00, 0
./filegen 30 100 1024 1048576, 10853.60, 571253.04, 1858.40, 3.84
./filesearch, 4.00, 4.40, 730.40, 3.84
./mmul, 74.00, 30.00, 24024.80, 2.56
./nbody, 45.00, 4.40, 745.60, 3.84
./qap /home/georg/perf-oriented-dev/small_samples/qap/problems/chr15c.dat, 1035.60, 4.64, 637.60, 3.84
